动作ID,事件ID,规则ID,执行动作,行为强度,持续时间秒,执行结果,执行时间
A0039,E020,R028,频控,中,5,成功,2025/12/4 11:00
A0040,E020,R028,告警,低,300,成功,2025/12/4 11:00
A0041,E021,R017,审批,低,5,失败,2025/11/14 12:21
A0042,E021,R017,脱敏,中,300,成功,2025/11/14 12:21
A0043,E022,R003,频控,高,30,成功,2025/12/29 1:43
A0044,E022,R003,告警,高,30,成功,2025/12/29 1:43
A0045,E023,R016,限制共享,高,300,成功,2025/10/31 10:06
A0046,E023,R016,加密,高,0,失败,2025/10/31 10:06
A0047,E024,R002,阻断连接,高,0,成功,2026/1/6 18:07
A0048,E024,R002,告警,高,30,成功,2026/1/6 18:07
A0049,E025,R002,频控,中,120,成功,2025/10/29 9:25
A0050,E025,R002,告警,中,30,成功,2025/10/29 9:25
A0051,E026,R019,阻断行为,高,300,成功,2025/10/27 20:45
A0052,E026,R019,告警,中,0,成功,2025/10/27 20:45
A0053,E027,R026,频控,高,300,成功,2025/12/14 6:25
A0054,E027,R026,告警,低,300,失败,2025/12/14 6:25
A0055,E028,R008,限制共享,高,120,成功,2025/12/24 5:35
A0056,E028,R008,加密,低,300,成功,2025/12/24 5:35
A0057,E029,R029,阻断连接,低,5,失败,2026/1/9 13:33
A0058,E029,R029,告警,高,5,成功,2026/1/9 13:33
A0059,E030,R023,限制共享,中,30,成功,2025/12/14 23:48
A0060,E030,R023,加密,高,30,成功,2025/12/14 23:48
A0061,E031,R017,遮盖,高,300,失败,2026/1/3 22:12
A0062,E031,R017,脱敏,高,300,失败,2026/1/3 22:12
A0063,E032,R016,阻断连接,低,300,成功,2025/12/29 4:15
A0064,E032,R016,告警,高,0,成功,2025/12/29 4:15
A0065,E033,R016,阻断连接,中,120,失败,2025/11/3 2:34
A0066,E033,R016,告警,高,5,成功,2025/11/3 2:34
A0067,E034,R026,告警,中,120,失败,2025/10/31 20:32
A0068,E034,R026,复核,低,5,成功,2025/10/31 20:32
A0069,E035,R025,遮盖,中,0,成功,2025/10/23 11:57
A0070,E035,R025,脱敏,中,5,成功,2025/10/23 11:57
A0071,E036,R025,阻断行为,高,0,成功,2025/10/18 7:00
A0072,E036,R025,告警,高,300,成功,2025/10/18 7:00
A0073,E037,R017,阻断连接,高,30,失败,2025/12/25 19:13
A0074,E037,R017,告警,高,5,成功,2025/12/25 19:13
A0075,E038,R003,遮盖,中,30,成功,2025/10/23 12:38
A0076,E038,R003,脱敏,高,300,失败,2025/10/23 12:38
A0077,E039,R012,阻断行为,低,30,成功,2025/12/20 8:56
A0078,E039,R012,告警,高,5,成功,2025/12/20 8:56
A0079,E040,R027,阻断连接,中,5,失败,2026/1/4 1:43
A0080,E040,R027,告警,高,5,成功,2026/1/4 1:43
A0081,E041,R014,阻断行为,中,5,成功,2025/12/9 20:12
A0082,E041,R014,告警,高,5,成功,2025/12/9 20:12
A0083,E042,R011,阻断行为,低,0,成功,2025/11/26 1:45
A0084,E042,R011,告警,高,120,成功,2025/11/26 1:45
A0085,E043,R010,审批,中,0,成功,2025/11/3 1:39
A0086,E043,R010,脱敏,中,5,成功,2025/11/3 1:39
A0087,E044,R022,限制共享,高,0,失败,2025/11/11 23:09
A0088,E044,R022,加密,中,30,失败,2025/11/11 23:09
A0089,E045,R025,频控,中,30,成功,2026/1/9 18:47
A0090,E045,R025,告警,高,0,失败,2026/1/9 18:47
